Project ID,Team (# in class),Organization  Name,Project Title
20190061,4,Topcon,3D Environment to set out Objects
20190061,8,Topcon,3D Environment to set out Objects
20190061,24,Topcon,3D Environment to set out Objects
20190051,2,Chan Zuckerberg Initiative,Scavenger Hunt
20190051,12,Chan Zuckerberg Initiative,Scavenger Hunt
20190051,23,Chan Zuckerberg Initiative,Scavenger Hunt
20190044,5,Bihai TruckAlert,Search Along Route 
20190044,15,Bihai TruckAlert,Search Along Route 
20190044,21,Bihai TruckAlert,Search Along Route 
20190044,22,Bihai TruckAlert,Search Along Route 
20190041,7,UCSF Fresno,Skin Test Result Analyzer
20190041,16,UCSF Fresno,Skin Test Result Analyzer
20190041,18,UCSF Fresno,Skin Test Result Analyzer
20190033,3,National Safety Compliance - Nestle,Daily Vehicle Inspection Reports
20190033,9,National Safety Compliance - Nestle,Daily Vehicle Inspection Reports
20190033,10,National Safety Compliance - Nestle,Daily Vehicle Inspection Reports
20190033,20,National Safety Compliance - Nestle,Daily Vehicle Inspection Reports
20190031,6,EJGallo,Industrial Application of Dykstra’s Algorithm
20190031,14,EJGallo,Industrial Application of Dykstra’s Algorithm
20190031,17,EJGallo,Industrial Application of Dykstra’s Algorithm
20190024,1,Bowles Farming,Farm Operations Dashboard
20190024,11,Bowles Farming,Farm Operations Dashboard
20190024,13,Bowles Farming,Farm Operations Dashboard
20190024,19,Bowles Farming,Farm Operations Dashboard
